Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 1, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
60, 19, 1, 0, 0.19974, 0.00308808, 0.0576485, 0.0199244, 0.880062, 0.309811, 0.05625, 0.0573684, 1, 0.024, 0.00144646, 0.990352, 0.00820202
61, 20, 1, 0, 0.199668, 0.00481463, 0.0574707, 0.0203922, 0.819624, 0.310667, 0.05625, 0.0573684, 1, 0.0225, 0.00184444, 0.984036, 0.0141192
62, 13, 1, 0, 0.19972, 0.00325456, 0.0581333, 0.0200087, 0.820632, 0.316731, 0.0575, 0.0578947, 1, 0.021, 0.00155556, 0.990002, 0.00844242
63, 20, 1, 0, 0.199848, 0.00451423, 0.0598141, 0.0191581, 0.79817, 0.32555, 0.06125, 0.0584211, 1, 0.021, 0.000844444, 0.985899, 0.0132566
64, 12, 1, 0, 0.199592, 0.0032995, 0.060097, 0.0188967, 0.804582, 0.324245, 0.065, 0.0568421, 1, 0.023, 0.00226869, 0.989434, 0.00829697
65, 13, 1, 0, 0.199887, 0.00406761, 0.0579717, 0.0194129, 0.866154, 0.310654, 0.0625, 0.0547368, 1, 0.0225, 0.000630303, 0.988846, 0.0105232
66, 13, 1, 0, 0.199825, 0.00300156, 0.0578182, 0.0196911, 0.869138, 0.307442, 0.06, 0.0557895, 1, 0.021, 0.000971717, 0.991097, 0.00793131
67, 13, 1, 0, 0.199806, 0.00374498, 0.0574263, 0.020077, 0.792155, 0.303843, 0.0625, 0.0542105, 1, 0.021, 0.00107677, 0.988089, 0.0108343
68, 20, 1, 0, 0.199821, 0.00337555, 0.0569859, 0.0200951, 0.875595, 0.298349, 0.0625, 0.0536842, 1, 0.022, 0.000991919, 0.99038, 0.00862828
69, 13, 1, 0, 0.199788, 0.00352293, 0.0574263, 0.0189989, 0.850039, 0.306682, 0.06125, 0.0547368, 1, 0.0215, 0.0011798, 0.989299, 0.00952121
70, 13, 1, 0, 0.199844, 0.00405673, 0.0563232, 0.0196292, 0.775996, 0.298148, 0.065, 0.0515789, 1, 0.02, 0.000864646, 0.987747, 0.0113879
71, 19, 1, 0, 0.199883, 0.0041682, 0.0573212, 0.0209105, 0.842841, 0.301244, 0.06375, 0.0536842, 1, 0.0205, 0.000650505, 0.987087, 0.0122626
72, 15, 1, 0, 0.199824, 0.00377603, 0.0598384, 0.0198897, 0.836713, 0.321226, 0.06125, 0.0584211, 1, 0.022, 0.000979798, 0.988778, 0.0102424
73, 13, 1, 0, 0.199828, 0.00320061, 0.058202, 0.0190708, 0.822832, 0.312441, 0.06, 0.0563158, 1, 0.0215, 0.000955556, 0.989764, 0.00928081
74, 21, 1, 0, 0.19982, 0.00309841, 0.0571475, 0.0194885, 0.880586, 0.305794, 0.05875, 0.0552632, 1, 0.0205, 0.001, 0.99123, 0.0077697
75, 11, 1, 0, 0.199813, 0.00421096, 0.0555717, 0.0198709, 0.849692, 0.294167, 0.055, 0.0547368, 1, 0.0195, 0.00103636, 0.987014, 0.0119495
76, 14, 1, 0, 0.199885, 0.00349412, 0.055301, 0.0200943, 0.805711, 0.294744, 0.05875, 0.0526316, 1, 0.0185, 0.000638384, 0.990115, 0.00924646
77, 14, 1, 0, 0.199911, 0.00413514, 0.0569455, 0.0195026, 0.797711, 0.306321, 0.06125, 0.0542105, 1, 0.019, 0.000492929, 0.987889, 0.0116182
78, 17, 1, 0, 0.199784, 0.0033943, 0.0576, 0.0192861, 0.886779, 0.307793, 0.06125, 0.0552632, 1, 0.0215, 0.0012, 0.991083, 0.00771717
79, 6, 1, 0, 0.199785, 0.00510731, 0.0570424, 0.019478, 0.87722, 0.304579, 0.05875, 0.0552632, 1, 0.022, 0.00119394, 0.984947, 0.0138586
80, 15, 1, 0, 0.199717, 0.00283785, 0.055996, 0.0197162, 0.867725, 0.299486, 0.0575, 0.0542105, 1, 0.0215, 0.0015697, 0.991311, 0.00711919
81, 12, 1, 0, 0.199831, 0.00363048, 0.0573697, 0.0195732, 0.839293, 0.304605, 0.06875, 0.0515789, 1, 0.022, 0.000941414, 0.989184, 0.00987475
82, 17, 1, 0, 0.199829, 0.00310371, 0.0558747, 0.0199197, 0.879783, 0.293963, 0.0675, 0.05, 1, 0.021, 0.000949495, 0.99198, 0.00707071
83, 10, 1, 0, 0.199875, 0.00455471, 0.0586545, 0.0204488, 0.852552, 0.307235, 0.06125, 0.0568421, 1, 0.0215, 0.00069697, 0.986119, 0.0131838
